ID  объявления,Адрес,Дом,Парковка,Цена,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Название ЖК,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,пропуски,Количество_комнат,Описание_комнат,Название метро,Время_мин,Тип_транспорта,Общая_площадь,Жилая_площадь,Площадь_кухни
274284840,"Москва, Севастопольский проспект, 51К2","3/9, Панельный",наземная,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,19-11,,Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,2.64,Пасс (1),Да,3,2,Изолированная,м. Нахимовский проспект,20.0,пешком,45.0,30.0,6.0
274828722,"Санкт-Петербург, Приморский проспект, 137к1","16/17, Монолитный",подземная,"55000.0 руб./ За месяц, Сумма коммунальных платежей - 5000.0 руб., Залог - 55000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Лоджия (1),На улицу,Совмещенный (1),Можно с животными,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Золотая гавань, 2007",,,"Пасс (1), Груз (1)",Нет,3,1,Обычная,м. Беговая,13.0,пешком,50.0,35.0,12.0
272488937,"Санкт-Петербург, улица Оптиков, 33к1","24/25, Кирпичный",наземная,"23000.0 руб./ За месяц, Сумма коммунальных платежей - 1.0 руб., Залог - 23000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,"18,2",Балкон (1),Во двор,Раздельный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,,Пасс (4),Нет,3,1,Обычная,м. Беговая,25.0,пешком,36.9,18.2,8.4
272065985,"Москва, Нагорный бульвар, 4К1","6/9, Блочный",,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник",,,2.64,Пасс (1),Да,3,1,Обычная,м. Нагорная,17.0,пешком,31.0,20.0,6.0
250121653,"Москва, Севастопольский проспект, 19К3","3/5, Кирпичный",наземная,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,12-18,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,2.6,,Да,3,2,Изолированная,м. Нагорная,12.0,пешком,45.0,30.0,6.0
154317462,"Москва, улица Ремизова, 15К3",5/16,,"43000.0 руб./ За месяц, Залог - 43000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,,2.64,Пасс (2),Да,3,1,Обычная,м. Нагорная,8.0,пешком,38.0,20.0,8.5
273792252,"Москва, улица Дмитрия Ульянова, 43К3","12/24, Монолитный",наземная,"40000.0 руб./ За месяц, Залог - 40000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,,"Пасс (4), Груз (2)",Да,3,1,Обычная,м. Академическая,15.0,пешком,40.0,20.0,10.0
274056479,"Москва, улица Дмитрия Ульянова, 43К3","12/24, Монолитный",наземная,"40000.0 руб./ За месяц, Залог - 40000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20,Балкон (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,,Пасс (4),Да,3,1,Обычная,м. Крымская,10.0,пешком,42.0,20.0,12.0
274623676,"Москва, улица Винокурова, 28К2","2/9, Блочный",наземная,"38000.0 руб./ За месяц, Залог - 38000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,14+10,,Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,2.64,Пасс (1),Да,3,2,Смежная,м. Крымская,12.0,пешком,37.0,24.0,7.0
274964422,"Санкт-Петербург, проспект Королева, 59к1","20/24, Монолитный",подземная,"36000.0 руб./ За месяц, Залог - 36000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,"Балкон (1), Лоджия (1)",Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет","Граффити, 2015",,,"Пасс (1), Груз (1)",Нет,3,2,Обычная,м. Комендантский проспект,6.0,на машине,58.1,26.0,18.0
272835846,"Москва, Нахимовский проспект, 14","5/9, Блочный",,"30000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,,2.64,Пасс (1),Да,3,1,Обычная,м. Нахимовский проспект,12.0,пешком,32.0,20.0,6.0
274055420,"Москва, улица Обручева, 12","9/16, Панельный",наземная,"42000.0 руб./ За месяц, Залог - 42000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,16-10,,Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет, Телефон",,,2.65,"Пасс (1), Груз (1)",Да,3,2,Изолированная,м. Новаторская,15.0,пешком,41.0,26.0,8.0
238065875,"Москва, Смольная улица, 43","3/9, Монолитный",,"36000.0 руб./ За месяц, Залог - 20000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,16-14,Балкон (1),Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,2.64,Пасс (1),Да,3,2,Изолированная,м. Беломорская,3.0,пешком,50.0,40.0,8.0
274645046,"Москва, Беломорская улица, 26","6/12, Блочный",наземная,"45000.0 руб./ За месяц, Залог - 20000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,18-15,Лоджия (1),Во двор,,"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,2.64,"Пасс (1), Груз (1)",Да,3,2,Изолированная,м. Беломорская,1.0,пешком,55.0,33.0,9.0
192419349,"Москва, улица Академика Челомея, 10","5/12, Панельный",,"40000.0 руб./ За месяц, Залог - 20000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20,Балкон (2),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник",,,2.64,Пасс (1),Да,3,1,Обычная,м. Калужская,14.0,пешком,40.3,20.0,9.0
272003979,"Москва, улица Новаторов, 1","5/11, Монолитный",подземная,"116000.0 руб./ За месяц, Залог - 116000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,12 16 25,"Балкон (1), Лоджия (1)",На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель на кухне, Ванна, Душевая кабина, Посудомоечная машина, Холодильник, Интернет",,,3.0,"Пасс (1), Груз (1)",Да,3,3,Обычная,,,,116.0,53.0,17.0
274756056,"Москва, Беломорская улица, 18К2","7/9, Блочный",,"40000.0 руб./ За месяц, Залог - 40000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,18,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Посудомоечная машина, Холодильник",,,2.64,Пасс (1),Да,3,1,Обычная,м. Беломорская,5.0,пешком,35.0,18.0,8.0
273777774,"Москва, Профсоюзная улица, 64к2","7/40, Монолитный",подземная,"120000.0 руб./ За месяц, Залог - 120000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,"Балкон (1), Лоджия (1)",Во двор,Совмещенный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон","Дирижабль, 2012",,,"Пасс (2), Груз (2)",Да,3,3,Изолированная,м. Новые Черемушки,6.0,пешком,109.0,18.0,
265910493,"Москва, Ленинградское шоссе, 92/1","9/9, Кирпичный",наземная,"40000.0 руб./ За месяц, Залог - 40000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,16-10,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник",,,,Пасс (1),Да,3,2,Изолированная,м. Водный стадион,6.0,на машине,45.0,26.0,6.0
274919082,"Москва, Беломорская улица, 18К1","6/9, Блочный",,"38000.0 руб./ За месяц, Залог - 38000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,16+11,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Холодильник, Интернет",,,2.64,Пасс (1),Да,3,2,Смежная,м. Беломорская,5.0,пешком,42.0,27.0,7.0
274952675,"Москва, Смольная улица, 71","7/9, Панельный",,"37000.0 руб./ За месяц, Залог - 37000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,14-10,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Стиральная машина, Кондиционер, Холодильник",,,2.64,Пасс (1),Да,3,2,Изолированная,м. Беломорская,10.0,пешком,42.0,24.0,8.0
271102485,"Москва, Ленинский проспект, 95Б","28/33, Монолитно-кирпичный",подземная,"140000.0 руб./ За месяц, Залог - 140000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,15 20,,На улицу и двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",The MID,,2.7,"Пасс (2), Груз (2)",Нет,3,2,Обычная,м. Проспект Вернадского,20.0,пешком,52.0,35.0,10.0
274801015,"Москва, улица Архитектора Власова, 22","13/15, Монолитный",подземная,"140000.0 руб./ За месяц, Залог - 140000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,"17,4-20,9-35,3",Лоджия (1),На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,,,"Пасс (1), Груз (1)",Да,3,3,Обычная,м. Новые Черемушки,7.0,пешком,135.0,21.6,
272004904,"Москва, улица Новаторов, 1","7/11, Монолитный",подземная,"146000.0 руб./ За месяц, Залог - 146000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,15 15 17 25,"Балкон (1), Лоджия (1)",На улицу и двор,Совмещенный (3),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Холодильник, Интернет",,,3.0,"Пасс (1), Груз (1)",Да,3,4,Обычная,,,,153.0,72.0,12.0
272416082,"Москва, улица Академика Опарина, 4к1","12/16, Панельный",наземная,"150000.0 руб./ За месяц, Залог - 150000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,64,Лоджия (2),Во двор,Совмещенный (2),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,,,"Пасс (1), Груз (1)",Да,3,4,Смежная,м. Беляево,3.0,на машине,124.0,64.0,30.0
269862688,"Москва, Валдайский проезд, 9АК1","13/17, Монолитный",наземная,"60000.0 руб./ За месяц, Залог - 62000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,"13,2-13,2-19,6",Балкон (2),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Холодильник, Интернет",,,,Пасс (2),Да,3,3,Изолированная,м. Беломорская,12.0,пешком,74.9,45.8,10.2
272954214,"Москва, Ленинский проспект, 95Б","32/33, Монолитно-кирпичный",подземная,"160000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",,13-11,,Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Интернет","The MID, 2018",индивидуальный проект,2.8,"Пасс (2), Груз (2)",,3,2,Обычная,м. Новаторская,6.0,пешком,79.0,24.0,24.0
273691284,"Москва, Смольная улица, 51к2","14/17, Панельный",наземная,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,18.9-11.4,Лоджия (1),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Холодильник, Интернет",,,2.64,Пасс (2),Да,3,2,Изолированная,м. Беломорская,1.0,пешком,51.7,30.3,9.8
263191338,"Москва, Фестивальная улица, 11","5/9, Кирпичный",,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,19+10,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Холодильник",,,2.64,Пасс (1),Да,3,2,Изолированная,м. Речной вокзал,2.0,пешком,45.0,29.0,6.0
272607038,"Москва, Профсоюзная улица, 64к2","8/40, Монолитно-кирпичный",подземная,"180000.0 руб./ За месяц, Залог - 180000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,20 30,,На улицу,"Совмещенный (1), Раздельный (1)",,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",Дирижабль,,3.0,"Пасс (2), Груз (2)",Да,3,2,Обычная,м. Новые Черемушки,7.0,пешком,110.0,50.0,20.0
271265362,"Москва, Профсоюзная улица, 64к2",8/40,наземная,"180000.0 руб./ За месяц, Залог - 180000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Балкон (1),На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",Дирижабль,,3.2,Пасс (1),,3,3,Оба варианта,м. Новые Черемушки,15.0,пешком,110.0,60.0,20.0
271440125,"Москва, Профсоюзная улица, 64к2","7/40, Монолитный",многоуровневая,"180000.0 руб./ За месяц, Залог - 180000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,,,Во двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Дирижабль, 2012",,3.0,Пасс (4),Да,3,2,Оба варианта,м. Новые Черемушки,6.0,пешком,110.0,20.0,
240747445,"Москва, улица Обручева, 11К2","6/9, Блочный",наземная,"30000.0 руб./ За месяц, Залог - 15000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,19,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет, Телефон",,,,Пасс (1),Да,3,1,Обычная,м. Калужская,14.0,пешком,39.0,19.0,7.0
274189440,"Москва, улица Академика Челомея, 8К2","6/12, Блочный",,"38000.0 руб./ За месяц, Залог - 38000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20,Лоджия (1),Во двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник",,п-46,2.64,Пасс (3),Да,3,1,Обычная,м. Воронцовская,10.0,пешком,39.0,20.0,9.0
274613948,"Санкт-Петербург, Коломяжский проспект, 15к1","10/25, Кирпичный",открытая,"45000.0 руб./ За месяц, Сумма коммунальных платежей - 3000.0 руб., Залог - 45000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,22-10,Лоджия (1),На улицу,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет","Talo дом, 2011",,2.8,"Пасс (2), Груз (1)",,3,2,Оба варианта,м. Пионерская,5.0,пешком,64.0,32.0,10.0
272822022,"Санкт-Петербург, Лыжный переулок, 8к1","10/21, Кирпичный",открытая,"75000.0 руб./ За месяц, Сумма коммунальных платежей - 5000.0 руб., Залог - 75000 руб., Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,18-15-25,Лоджия (1),Во двор,Раздельный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Стиральная машина, Телевизор, Холодильник, Интернет",Медный всадник,,,Пасс (1),,3,3,Изолированная,м. Беговая,20.0,пешком,110.0,58.0,12.6
273401528,"Москва, улица Тихомирова, 12К2","10/12, Панельный",наземная,"62000.0 руб./ За месяц, Залог - 62000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,18-14,Лоджия (2),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,,Пасс (2),Да,3,2,Обычная,м. Медведково,8.0,пешком,60.0,32.0,13.0
273599310,"Москва, Полярная улица, 30К2","7/9, Панельный",наземная,"43000.0 руб./ За месяц, Залог - 43000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,"10,2-20,3+12,6",Балкон (1),Во двор,Раздельный (1),,"Мебель на кухне, Ванна, Стиральная машина, Холодильник",,,2.64,Пасс (1),Да,3,3,Смежная,м. Медведково,15.0,пешком,59.7,43.1,6.0
242436883,"Москва, Северодвинская улица, 11к1","15/17, Панельный",наземная,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,,Лоджия (1),На улицу и двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет, Телефон",,,2.75,"Пасс (1), Груз (1)",Да,3,2,Изолированная,м. Медведково,15.0,пешком,57.7,31.0,10.2
257387376,"Москва, Широкая улица, 30","3/17, Монолитный",многоуровневая,"65000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,,,Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Shirokaya, 2017",,3.3,"Пасс (3), Груз (1)",Нет,3,2,Смежная,м. Медведково,12.0,пешком,47.0,20.0,22.0
272528855,"Москва, проезд Шокальского, 59К2","4/9, Панельный",наземная,"49000.0 руб./ За месяц, Залог - 49000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Холодильник",,,2.7,Пасс (1),Да,3,3,Обычная,м. Медведково,6.0,пешком,58.0,40.0,7.0
271106526,"Москва, Заревый проезд, 9","7/15, Монолитный",наземная,"45000.0 руб./ За месяц, Залог - 45000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,"15,6",Лоджия (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,,2.64,"Пасс (2), Груз (1)",Да,3,1,Обычная,м. Медведково,5.0,пешком,32.4,15.6,8.0
274424112,"Москва, улица Тихомирова, 17К1","11/14, Панельный",,"32000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,19,Лоджия (1),На улицу,"Совмещенный (1), Раздельный (1)",Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,2.74,Пасс (2),Да,3,1,Обычная,м. Медведково,7.0,пешком,37.6,19.0,8.0
252663203,"Санкт-Петербург, проспект Авиаконструкторов, 45К1","6/8, Монолитный",наземная,"20000.0 руб./ За месяц, Сумма коммунальных платежей - 4500.0 руб., Залог - 20000 руб., Срок аренды - Длительный, Предоплата 1 мес",Косметический,22.4,Балкон (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник",,,,Пасс (1),Да,3,1,Обычная,м. Комендантский проспект,6.0,на машине,43.6,22.4,12.7
155011589,"Москва, улица Грекова, 3К2",14/16,наземная,"60000.0 руб./ За месяц, Залог - 60000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,21+12,Лоджия (1),На улицу и двор,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник",,,2.48,"Пасс (1), Груз (1)",Да,3,2,Обычная,м. Медведково,1.0,пешком,60.0,33.0,10.0
167609721,"Москва, Славянский бульвар, 9к6",13/25,,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,10-12-15,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Посудомоечная машина, Телевизор, Холодильник, Интернет","Квартал Триумфальный, 2012",,,Груз (2),Да,3,2,Изолированная,м. Славянский бульвар,8.0,пешком,61.0,37.0,10.0
272045083,"Москва, Давыдковская улица, 5","20/25, Панельный",,"135000.0 руб./ За месяц, Залог - 135000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,18 12 12,Балкон (1),Во двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,2.8,"Пасс (1), Груз (2)",Да,3,3,Обычная,м. Славянский бульвар,8.0,пешком,65.0,42.0,10.0
273905983,"Москва, Давыдковская улица, 18","18/22, Монолитный",многоуровневая,"200000.0 руб./ За месяц, Залог - 200000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Дизайнерский,,Лоджия (1),На улицу и двор,Совмещенный (2),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет","Форт Кутузов, 2012",,3.0,Пасс (3),,3,3,Изолированная,м. Славянский бульвар,18.0,пешком,120.7,15.0,
274781911,"Москва, Севастопольский проспект, 13К4","1/14, Панельный",наземная,"65000.0 руб./ За месяц, Залог - 65000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,14.5-15.2,,На улицу и двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Холодильник, Интернет",,,2.8,Пасс (2),Да,3,2,Изолированная,м. Крымская,13.0,пешком,55.0,29.7,19.8
274409038,"Москва, проезд Шокальского, 29к2","9/17, Монолитный",наземная,"40000.0 руб./ За месяц, Залог - 40000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,14-18,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,,Пасс (2),Да,3,2,Изолированная,м. Медведково,12.0,пешком,58.0,32.0,12.0
273364155,"Москва, Рублевское шоссе, 11К2","17/22, Монолитно-кирпичный",подземная,"280000.0 руб./ За месяц, Залог - 280000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,27 30 25 27 32,Лоджия (1),Во двор,Совмещенный (3),,"Мебель в комнатах, Мебель на кухне, Ванна, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,3.0,"Пасс (1), Груз (1)",Да,3,5,Обычная,м. Кунцевская,5.0,пешком,300.0,141.0,30.0
274660562,"Москва, Северодвинская улица, 19","5/16, Панельный",наземная,"36000.0 руб./ За месяц, Залог - 39000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Евроремонт,18,Лоджия (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,2.48,Пасс (2),Да,3,1,Обычная,м. Медведково,18.0,пешком,35.0,18.0,10.0
274631062,"Москва, Студеный проезд, 3","7/14, Панельный",,"35000.0 руб./ За месяц, Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,18-11,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Посудомоечная машина, Холодильник, Интернет, Телефон",,,2.64,Пасс (2),Да,3,2,Оба варианта,м. Медведково,9.0,пешком,44.0,29.0,11.0
251792950,"Москва, Полярная улица, 54К1",9/17,наземная,"29000.0 руб./ За месяц, Залог - 29000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,20,"Балкон (1), Лоджия (1)",Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,,,"Пасс (1), Груз (1)",Да,3,1,Обычная,м. Медведково,10.0,пешком,39.0,20.0,7.0
273682679,"Москва, проезд Шокальского, 28А","7/16, Панельный",,"29000.0 руб./ За месяц, Залог - 30000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",Косметический,19.5,Лоджия (1),Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник",,,2.48,Пасс (2),Да,3,1,Обычная,м. Медведково,15.0,пешком,34.5,19.5,9.5
